Aliment,Calorii,Proteine,Lipide,Carbohidrati,Fibre,Aproximari
Unt 65% Premio Unicarm,587,0.2,65,0.4,0,1 pachet = 200 g
"Unt 72,5% Crestianscoe JLC",661,1.3,72.5,0.8,0,1 buc = 200 g
Unt 80 % Perfecto Milli,720,0,80,0,0,
Unt 80% Carrefour ,722,0.7,80,0,0,
Unt 80% semisarat President,725,0.7,80,0.5,0,
Unt 82% 365,744,0.6,82.1,0.6,0,1 pachet = 250 g
Unt 82% eco Aldi R,743,0.7,82,0.6,0,1 cutie = 250 g
Unt 82% Mandra,751,0.7,82.5,0,0,
Unt 82% President,738,0,82,0,0,
Unt 82% Sole,742,0.4,82,0.5,0,
Unt 83% Cremino Lacto Food,775,0.2,83,0,0,
Unt Becel,280,0.5,23,2,0,
Unt bio DLL Mega Image,743,0,82,0.8,0,1 pachet = 250 g
Unt clarificat ghee Alnatura,894,0.1,99.3,0,0,
Unt cocos tartinabila Fruit Orchard,698,6.6,68.3,6.8,14.9,
Unt de arahide creamy SanoVita,570,25,48,17,6,1 cutie = 375 g
Unt de arahide crocant Sante,639,24.3,53.4,13.5,6,1 borcan = 350 g
Unt de arahide Sante,634,26.6,53,8.5,8.4,1 borcan = 350 g
Unt de caju MP Max,584,20.9,48.2,16.7,2,1 cutie = 1 kg
Unt de cocos Aloka,930,0,105,0,0,O lingurita are aprox 13 g
Unt de masa 62% Pilos ,568,1.5,62,1,0,1 pachet = 200 g
Unt de masa 65% Aro,587,0.2,65,0,0,
Unt de masa 65% grasime Milli,585,0,65,0,0,
Unt de masa 65% Pilos,588,0.5,65,0,0,1 pachet = 200 g
Unt de masa B 65 % Natura,595,1.2,65,1.2,0,
Unt de masa B 65% grasimi Napolact,583,0.3,65,0.2,0,
Unt de masa B 65% Millhof,588,0.5,65,0.3,0,1 pachet = 200 g
Unt de migdale Carley's,578,21.3,50.6,19.7,11.8,0
Unt de migdale ecologic 100% vegan Rapunzel,645,23,56,5.5,10,1 cutie = 250 g
Unt de susan prajit Jean Herve,650,24,54.4,16,0,1 borcan = 350 g
Unt ecologic 80% Camy Lact,720,0,80,0,0,
Unt Golden Hills Milbona,748,0.6,82.5,0.7,0,1 pachet = 250 g
Unt Koliba,547,1.8,60,1,0,1 buc = 100 g
Unt light Linessa,352,0,39,0.2,0.1,
Unt Lurpak,720,0.5,80,0.6,0,1 cutie = 200 g
Unt natural 82% Premium,760,0.1,82,0.1,0,
Unt nesarat 82% Oldenburger,744,0.8,82,0.7,0,
Unt organic de alune Haugen,623,25.6,48.9,16,8.4,
Unt pentru prajit Becel,890,0.7,98,0.7,0,1 lingura = 15 g
Unt sandwich,653,0.3,70,0.3,0,
Unt semigras 40% Aro,354,0.4,40,0,0,1 pachet = 200 g
"Unt, ceai",728,0.4,80,0.5,0,
Untura de porc,924,0.1,99.7,0,0,
Caju prajit si sarat Carrefour,581,17.1,46,18,0,1 punga = 300 g
Crema de cocos Cocomas,370,0,38,0,0,1 cutie = 200 ml
Crema vegetala 27% grasime Aro,300,0.8,31,0.1,0,
Jumari,823,12.1,83.2,0,0,
Lapte de cocos Lite Thai Choice,67,0.8,5.7,3.3,0,1 cutie = 400 ml
Maduva osoasa vita,600,5,65,1,0,
Maioneza Ajonesa ligera Chovi,384,0.4,6.2,6.6,0,
Maioneza facuta in casa,743,1.5,80,3,0,1 lingura = 15 g
Maioneza light,334,1,33,9,0,1 lingura = 15 g
Maioneza light cu iaurt Calve,300,1.5,27,12,0.5,1 lingurita = 15 g
Maioneza light Vita Star Kaufland,480,0.6,51.9,5.1,0,1 borcan = 250 ml
Maioneza Vita D'or,715,0.7,77.8,2.9,0.1,
Margarina 24 % Hochlland,216,0,24,0,0,
Margarina Becel gold,640,0.5,70,0.6,0.5,1 cutie = 200 g
Margarina cu iaurt Rama Yoghurt,360,0.5,39,0.5,0.5,
Margarina cu unt Delma,300,0.5,39,1.5,0.5,
Margarina cu vitamine Delma,315,0,35,0,0,1 cutie = 500 g
Margarina Delma,512,0.1,55,0.5,0,
Margarina Fruhstuck,225,0,25,0,0,
Margarina light Arias ligera,213,0.3,20,8.1,0,
Margarina light Clever,225,0,25,0,0,
Margarina Linco Apetit,225,0,25,0,0,
Margarina pentru prajituri,781,0.5,84,0.4,0,
Margarina Rama Balance,370,0.2,39,3,0,
Margarina Rama Maestro,630,0.1,70,0.1,0,
Margarina universal Delma,540,0,60,0,0,
Masline Iliada,240,1.3,25,0,3.5,
Slanina,501,16.8,46.5,0,0,
Slanina cu boia Camara Noastra,655,6,70,0.2,0,
Slanina cu boia Prodprosper,829.3,5.6,86.7,0,0,
Sos de maioneza Gova,718,1.1,78.9,0.4,0,1 borcan = 500 ml
Ulei bio Agir,828,0,92,0,0,
Ulei cocos 100% organic Royal Green,898,0,92,0,0,
Ulei de alune Delhaize,900,0,100,0,0,1 lingurita = 5 g
Ulei de canepa bio Canah,882,0.3,99,0,0.5,
Ulei de cocos,862,0,100,0,0,
Ulei de cocos BIO Rinatura,819,0,91,0,0,1 borcan = 130 ml
Ulei de Cocos Dr. Bio,855,0,87.5,0,0,1 borcan = 130 g
Ulei de cocos ecologic Steaua Divina,900,0,100,0,0,1 borcan = 200 g
Ulei de cocos pentru gatit Barco,875,0,86,0,0,1 punga = 1 l
Ulei de cocos PlanetBio,900,0,100,0,0,
Ulei de cocos Solaris,862,0,100,0,0,
Ulei de cocos virgin HerbalSana,862,0,100,0,0,1 borcan = 250 ml
Ulei de floarea soarelui Floarea de Aur,828,0,92,0,0,
Ulei de floarea soarelui pentru gatit si salate Bunica,900,0,100,0,0,
Ulei de in Alnatura,900,0,100,0,0,
Ulei de masline,824,0,100,0,0,1 lingura = 15 g
Ulei de masline Bertolli,819,0,91,0,0,
Ulei de masline Carbonell,900,0,100,0,0,
Ulei de masline De Cecco,825,0,91.6,0,0,
Ulei de masline estra virgin Alipende,900,0.2,100,0,0,
Ulei de masline extra virgin Cirio,822,0,91.3,0,0,
Ulei de masline extra virgin Hacendado,900,0,100,0,0,
Ulei de masline extra virgin Italdoro,800,0,93.3,0,0,
Ulei de masline extra virgin Mueloliva,900,0,100,0,0,1 sticla= 1 l
Ulei de masline extra virgin Pietro Coricelli,822,0,91.3,0,0,1 sticla = 1000 ml
Ulei de masline extra virgin Rivano,824,0,92,0,0,
Ulei de masline extravirgin Cavanna,824,0,91.5,0,0,1 sticla = 750 ml
Ulei de masline extravirgin La Espanola,822,0,94.1,0,0,
Ulei de masline extravirgin Monini,824,0,92,0,0,1 sticla = 1 l
Ulei de masline extravirgin organic Chrysolado,824,0,100,0,0,1 cutie = 5 l
Ulei de masline extravirgin Profi,822,0,91.3,0,0,1 sticla = 500 ml
Ulei de masline extravirgin Sasso,823,0,91.3,0,0,
Ulei de masline Goccia D'oro,824,0,91.6,0,0,
Ulei de masline Koipe Sabor ,900,0,100,0,0,
Ulei de masline platinium Terra Creta,828,0,92,0,0,"Aciditate 0,2%"
Ulei de masline Suave,900,0,100,0,0,1 sticla = 1000 ml
Ulei de masline Vitae D'Oro,824,0,91.6,0,0,
Ulei de migdale dulci HerbalSana,884,0,100,0,0,1 sticluta = 50 ml
Ulei de nuci Billa,828,0,92,0,0,
Ulei de orez Pietro Coricelli,826,0,92,0,0,
Ulei de palmier Best Price,810,0,90,0,2.5,1 cutie = 1400 ml
Ulei de porumb,884,0,100,0,0,
Ulei de rapita,800,0,100,0,0,
