Aliment,Calorii,Proteine,Lipide,Carbohidrati,Fibre,Aproximari
Sos iute mexican Poco Loco,55,0.9,0.2,12,0,1 borcan = 315 g
Sos maioneza Univer,490,0.3,50.2,8.5,0,
Sos masline si busuioc Olive & Basilico Panzani,71,1,3.2,9.5,0,1 borcan = 400g
Sos mexican chilli Uncle Ben's,58,1.7,0.5,10.2,2.3,
Sos mild ajvar Sera,116,6,9,2,0,
Sos mustar si miere Ligeresa,190,0.8,14,15,0.5,
Sos paste Arrabbiata Kaufland,55,1.3,1.4,8.7,0,1 borcan = 420 g
Sos pentru pasta toscana Alnatura,381,5.8,37.3,5.6,0,1 borcan = 214 g
Sos pentru paste cu masline si capere Baneasa,61,1.5,4.1,6.6,0,
Sos pentru paste Quattro Formaggi Dolmino,108,1.7,9.8,3.3,0.7,
Sos pesto Alla Genovese Panorama,487,4.9,45.6,14.6,0,1 borcan = 190 g
Sos pesto Verde Alnatura,465,10,43,9.3,3.2,1 borcan = 120 g
Sos picant cu branza si ardei iuti jalapeno Poco Locco,147,3.8,11.5,7,0,1 borcan = 300 g
Sos remoulade Hemker,629,0.6,66.9,6.2,0,
Sos risotto tomate & parmezan Panzani,96,1.5,5.8,9.4,0,1 borcan = 180 g 
Sos roz pentru carne Dia,533,1.3,51.5,15.8,0,
Sos salsa cocktail Heinz,398,2.2,36,15,0,1 tub = 225 g
Sos salsa hot Delhaize,45,1.5,0.2,8,2.8,1 borcan = 300 g
Sos soia Mammita,80,6.9,0.5,12,0,1 sticluta = 170 ml
Sos soia picant  Heinz,184,2.6,0,43,0,
Sos tartar Knorr,504,0.9,52.6,6.4,0,
Sos tomate Arrabiata Panzani,53,1.8,1.1,8.1,1.5,1 borcan = 400 g
Sos tortills dip mild Mexicana Cantina,56,1.3,0.4,11.4,0,1 borcan = 190 g
Sos tzatziki Apostels,116,5,7,8.3,1.2,
Sos usturoi cu pulpa de usturoi Univer,458,0.8,46,9.4,0,1 flacon = 420 g
Sos usturoi Univer,454,1,45.7,9.7,0,
Sos Vinaigrette KFC,325,0.4,13.4,13.2,0,1 buc = 50 g
Suc de rosii Home Garden,18,0.9,0.5,2.4,0,1 sticla = 330 ml
Topping de capsuni Szamoca,210,0.3,0,50.9,0,1 borcan = 300 g
Tzatziki Asda,114,3.6,7.8,7,0.5,
Wasabi Cernauti,206.3,4.7,14,15.4,0,
Dressing Blue Cheese McDonalds,260,4,24,6,0,1 plic =50 ml
Dressing cu otet Vinaigrette Develey,246,0.3,25,3.6,0,1 sticla = 200 ml
Dressing pentru salata cu iaurt Develey,214,1.4,19.9,6.9,0,
Heinz Barbeque Sauce,86,0.8,0.1,20,0,1 sticla = 250 ml
Inlocuitor de maioneza light Miracle Whip Kraft ,160,0,10,20,0,1 lingura = 16 g
Ketchup dulce Proxi,42,1,0.2,9.4,0,
Ketchup dulce Univer,108,0.9,0.2,25.7,0,
Ketchup Heinz 50%,64,1.4,0.1,11.9,0.1,1 tub = 500 ml
Ketchup Kania,104,1.9,0.1,22.9,0.6,
Ketchup Mild Hellman's,100,1,0.1,25,0,1 portie = 15 g
Ketchup P'tits Heinz,74,1.5,0.1,16.6,1.4,
