Aliment,Calorii,Proteine,Lipide,Carbohidrati,Fibre,Aproximari
Pastrama piept pui Elit,78,15.7,1.2,1,0,
Pate ce porc Tulip,260,13,22,1.5,0,1 cutie = 125 g
Pate de curcan Novac,270,17.4,26.5,1.5,0,1 cutie = 100 g
Pate de ficat,324,15.9,27.7,0.3,0,
Pate de ficat porc Unicarm,311,9.4,29.4,1.2,0,1 cutie = 200 g
Pate de gasca integral Scandia,294,9.9,26.1,4.8,0,1 cutie = 120 g
Pate de gasca Vascar,317,9.1,28,4.6,0,1 cutie = 120 g
Pate de pasare Moldova Ascar,139,10,8.9,3.7,0,1 cutie = 200 g
Pate de porc 24% ficat Carrefour ,278,9.1,23.9,4.5,0,1 buc = 120 g
Pate de porc Aro,241,10.1,19.7,5.9,0,
Pate de porc cu rosii Bucegi,242,12.5,18.8,5.4,0,
Pate de porc Marasesti,241,10.1,19.7,5.9,0,1 cutie = 200 g
Pate de porc Scandia Bucegi,185,11,13.9,2.3,0,
Pate de porc Vascar,244,12.5,20,1.6,0,1 cutie = 200 g
Pate de pui casa cu ulei de cocos,195.8,11.2,14.9,4.5,1,
Pate de pui Tartini Caroli,259,11,22,5.5,0,1 cutie = 150 g
Pate din ficat de pui Antefrig,241,10.1,19.7,5.9,0,1 cutie = 100 g
Pate ficat de pui Scandia,188,10.6,14.4,4,0.6,
Pate ficat vita Vascar,168,9.1,12.1,4.4,0,1 conserva = 120 g
Pate Martinel Reinert,336,11,32,1,0,
Pate popular de porc Carpati,192,11.4,14.7,3.6,0,
Pate porc cu cascaval Bucegi,224,13.5,17,4.2,0,1 cutie = 100 g
Pate Primo,192,11.4,14.7,5.9,0,
Pate taranesc Campofrio,312,8,30,2.5,0,
Pate taranesc de porc Sadu,192,11.4,14.7,3.6,0,
Picioare de porc gatite,232,21.9,16.1,0,0,
Piept curcan cu piele crud,157,21.9,7,0,0,
Piept de curcan Dulano,103,20,2,1,0,1 cutie = 125 g
Piept de porc cu coaste,241,12.4,17.6,0,0,
Piept de pui crud cu piele,172,20.9,9.2,0,0,
Piept de pui dezosat fara piele Coco Rico,103,23.3,0.9,0.2,0.1,1 cutie = 600 g
Piept de pui gatit cu piele,184,27.4,7.4,0,0,
Piept de pui la gratar Mega Image,135.9,23.4,4.4,0,0,1 caserola = 210 g
Pipota curcan cruda,118,19,4.5,0,0,
Pipota de pui fiarta,146,30.4,2.7,0,0,
Pipote si inimi de pui crude Coco Rico,113.5,15.7,5.2,0.1,0,
Plaman crud porc,85,14.8,2.7,0,0,
Porumbel,130,19.6,5,1.2,0,
"Prepelita, piept (japonez)",119,22.8,2.3,1.1,0,
Prosciutto Beretta,224.5,27.5,12.5,0.5,0,
Prosciutto crudo Casa Domani,231,26,14,0.2,0,1 felie = 10 g
Pui pulpe fara piele crude,120,19.2,4.2,0,0,1 buc = 230 g
Pulpa curcan gatita cu piele,170,28.5,5.4,0,0,
Pulpa de curcan,112,15,5,0,0,
Pulpa de curcan dezosata Pikok,99,11.1,5.4,1.6,0,
Pulpa de porc Svinestek,130,19,6,0,0,
Pulpa de pui cu piele gatita,184,24,9,0,0,1 buc fara os =  200 g
Pulpa de rata cu piele gatita,217,26.8,11.4,0,0,
Pulpa de vitel,107,21.3,1.8,0,0,
Pulpa dezosata de rata,199.6,24.6,10.5,0,0,1 pulpa dezosata = 90 g
Pulpa porc fara grasime,143,26,4,0,0,
Pulpe de pui de balta,119,24.2,0.9,2.9,0,
"Pulpe superioare de pui dezosate, fara piele Lidl",142,18.1,7.5,0.1,0,1 cutie = 650 g
Rata salbatica,124,22.7,3.1,0.5,0,1 buc = 750 g
Rinichi de porc,118,17,5,0.3,0,
Rulou curcan cu sunca parma si salvie Involtini,125,21.4,3.9,1,1,
Salam Sinaia Lidl,470,20.5,43,0.2,0,
Snitel parizian Mega Image,192.3,17.6,10.6,5.4,5,1 pachet = 210 g
Somon afumat BlueShark,221,22.3,14.3,0.8,0,
Spata de porc gatita,234,26.3,13.5,0,0,
Splina vitel cruda,105,18.3,3,0,0,
Sunca afumata,378,17.2,33,0.1,0,1 felie = 30 g
Sunca cruda gourmet Linessa Lidl,133,26,3,0.6,0,1 buc = 175 g
Sunca de curcan Vascar,115,15,4.3,3.4,0,1 cons = 300 g
Sunca din carne de porc Dulano,99,19,2,1,0,1 pachet = 200 g
Sunca fiarta degresata,110,22,2,1,0,1 felie = 30 g
Sunca presata din carne de porc Tulip,110,18,4,0,0,1 cutie = 454 g
Sunca proaspata,157,22.6,7.1,0.4,0,1 felie = 20 g
Sunculita afumata Wien,236,24,15,0.2,0,
Toba alba Carrefour,210,17,15.5,0.1,0,
Toba de porc,323,14.5,28.3,0.2,0,1 felie = 40 g
Toba de pui,200,23,22,0,0,
Vitel fara grasime,175,30,6,0.3,0,
Zgarci de porc,441,12,42,0.3,0,
Antricot de vita,236,17.4,18.5,0,0,
Aripi crude de curcan fara piele,119,18,4.7,0,0,
Aripi curcan gatite fara piele,163,30.9,3.4,0,0,
Aripi de pui cu piele crude,205,17,15.2,0,0,1 buc = 35 g
Aripi de pui fara piele gatite,203,30.5,8.1,0,0,
Bacon crud Dulano,268,16,22,1,0,
Bacon feliat fiert afumat Auchan,292,15.5,25,1.2,0,1 punga = 100 g
Bacon Reinert,436,18,40,1,0,1 pachet = 100 g
Bacon Tulip,310,14,28,0.5,0,
Beef Burgers MCennedy Lidl,253,18,20,0,0,"1 burger = 62,5 g"
Burger vita Angus,213,19,15,0,0,
Burta vita,168,15.9,11.2,0,0,
Capra,109,20.6,2.3,0,0,
"Carcasa eviscerata de pui fara cap, gat si picioare Coquelet de Bretagne",137,21.2,5.7,0.5,0,1 buc = 550 g
Carnaciori Banateni Lidl,492,21.5,45,0.2,0,
Carnati crud-uscati Cris-Tim,572.6,19.6,53.5,3.2,0,1 pachet = 100 g
Carnati de oaie picanti Kaufland,291,24.4,19.1,6.1,0.5,
Carnati Plescoi Cora,203,18,13.9,0.9,0,
Carne cabaline nepreparata,133,21.4,4.6,0,0,
Carne cruda de bibilica fara piele,110,20.6,2.5,0,0,
Carne de berbec gatita,143,27,3,0,0,
Carne de cangur Deluxe Lidl,91,20.2,1.1,0,0,1 cutie = 300 g
Carne de gasca gatita,238,29,13,0,0,
Carne de porc cruda semi-grasa,212,29.3,9.7,0,0,
Carne de porc pentru snitel Lidl,125,20,5,0,0,1 cutie = 400 g
Carne de rata fara piele gatita,201,23.5,11.2,0,0,
Carne de vaca slaba,104,20.4,2.2,0,0,
Carne de vita tocata gatita 10% grasime,225,27.4,12.9,0,0,
"Carne mici amestec vita, porc, oaie",340,15,30,0,0,
Carne porc muschi file fript,147,26,4,0,0,
Carne tocata de vita (50%) si porc (50%) ,235,18,18,0,0,
Carne tocata porc Martinez,212,17,16,0,0,
Carne tocata vita 20% Lidl,245,18,19,0.5,0,1 cutie = 400 g
Carne tocata vita-porc 15% grasime Lidl,207,18,15,0,0,1 cutie = 500 g
Carne vita Aberdeen Angus,200,22,13,0,0,
Ceafa de porc gatita,231,23.7,14.3,0,0,
Ceafa porc First Price,228,17,17.8,0,0,
Chiftele cu piept de pui Mega Image,175,18.1,9.2,5,0,1 cutie = 220 g
Chiftele din carne de curcan si pui Lidl,239,14,15.1,2,0.5,1 chifla = 100 g
Ciocanele de pui crude cu piele Lidl,153.8,17.3,8.9,0.1,0,
Ciolan de porc,337,16,29,0.3,0,1 buc = 1.25 kg
Ciolan dezosat afumat Fox,237,15.2,18.7,1.4,1,
Clapon,167,19.3,9.3,0.4,0,
Coasta de porc,186,20.3,11,0.4,0,1 buc = 200 g
Conserrva carne de vita Auchan,187,15.5,11.7,4.9,0,1 cutie = 300 g
Conserva carne curcan Oldenhauser,171,19,10,1,0.5,1 conserva = 300 g
Conserva carne de porc Hame,182,10.5,13.7,3.6,0,1 cutie = 300 g
Conserva carne de vita Vasca,100,10.3,8.3,6.7,0,1 cutie = 300 g
Conserva carne pasare Bucegi,127,14.1,7.3,0.8,0.7,1 buc = 300 g
Conserva cu carne presata de pasare Mega Image,195,12.1,14.3,4.5,0,1 conserva = 300 g
Conserva de carne de porc Loncshus,236,18.9,13,9.2,0,1 cutie = 500 g
Conserva de curcan Dulano,154,20,8,0.3,0,1 conserva = 300 g
Conserva din carne de porc Oldenhaeser Lidl,288,13.1,26,0.5,0,1 cutie = 340 g
Conserva macrou file in ulei Yachtis,531.6,9.5,54.8,0.1,0,1 cutie = 170g
Conserva sunca presata Bucegi,85,11.2,2.9,3.4,0.4,1 conserva = 320 g
Costita cu fasole boabe Clever Billa,132,5.8,6.4,10.2,0.4,1 cutie = 300 g
Cotlet de porc,155,21.6,7,0,0,
Cotlet haiducesc Meda,119.9,19.4,4.3,0.9,0,1 plic = 100 g
Creier porc crud,127,10.3,9.2,0,0,
Creier vita crud,143,10.9,10.3,1.1,0,
Crenvursti cu piept de pui Cris-Tim,220.7,14.8,14,8.9,0,1 pachet = 400 g
Curcan cu piele crud,160,20,8,0,0,
Ficat de curcan crud,228,17.8,16.4,2.3,0,
Ficat de curcan fiert,273,20,20.5,1.2,0,
Ficat de miel crud,139,20.4,5,1.8,0,
Ficat de porc,139,19.5,5.3,2.1,0,1 felie = 150 g
Ficat de pui Agricola,104,17.6,4.4,0.8,0,1 pachet = 500 g
Ficat de pui crud,116,16.9,4.8,0,0,
Ficat de pui fript,172,25.8,6.4,1.1,0,
Ficat de vita,175,27,5,5,0,
File din piept de pui Premium Quality Lidl,119.1,22,1,3.6,0,1 caserola = 650 g
File piept de pui cu susan Mega Image,236,17.1,7.6,23.2,0,1 cutie = 210 g
File somon Auchan,109,22,1.6,1.6,0,1 pachet = 60 g
Frigarui de pui Sav'or,120,21,2,3,0,
Fudulii de porc  crude,135,26,3,1,0,1 buc. = 200 g
Gordon Bleu Agricola,179,14,5,18,0,1 bucata = 100g
Gordon Bleu de pui Sav'or,200,15,8,16,0,1 buc = 135 g
Hamburger de pui Agricola,182,11,7,17,0,1 bucata = 50 g
Hamburger vita Lidl,200,26,9,3,0,1 buc = 100 g
Iepure de camp,106,23,1.1,0.5,0,
Inima de miel,120,17.1,5.6,0,0,
Inima de pui,153,16,9,1,0,1 buc = 6 g
Inimi pui eco Grasten,120,16,7,0,0,
Jambon porc la conserva Zwan,119,17,5,1.5,0,
Kaizer vid Elit,196,15.6,14,1,0,
Melci,82,17.6,1,0.2,0,
Mici porc vita Westfleisch,239,14,19,2.3,1.7,1 cutie = 1 kg
Mici vita si oaie Gepeto,154.4,13.2,10.8,0,0,
Mini chiftele condimentate Linessa,239,17,15,8.8,0,1 chiftea = 23 g
Muschi condimentat Poiana Marului,79,16,2,0,0,
Muschi de vita crud,215,19,15,0,0,
Muschi de vita slab crud,137,21.4,5,0,0,
Muschi file crud de miel,112,15.2,5.2,0,0,
Muschi file Selgros,110,15,5,1,0,1 bucata = 400 g
Muschi slab de porc gatit,145,20.9,5.5,1.5,0,
Muschiulet delikatess de porc Dulano,119,21,3,0,0,
Nuggets de pui Zimbo Golden,276,22,16,11,0,
Nutrie,185,20.8,10.5,0.5,0,
Omoplat de porc,295,17.5,23.9,0.3,0,
Pastrama de oaie la gratar,360,20,30.2,2,0,
Pastrama din piept de pui Agil,108,22.4,1.5,0.8,0,
Pate Bucegi Junior,101,10.1,2.9,7.4,2.5,1 cutie = 120 g
Pate cu ficat de gasca Scandia,228,10.5,18.9,4,0,
Pate de fazan Scandia Sibiu,267,9.2,23.8,4.1,0,1 cutie = 120 g
Pate de ficat cu ierburi fine La Belle Bretagne,266.6,13.3,23.3,3.3,0,1 baton = 200 g
Pate de ficat Unox,340,13,31,3,1,1 cutie = 56 g
Pate de gasca Sibiu,294,9.9,26.1,4.8,0,
Pate de masa porc Papila,241,10.1,19.7,5.9,0,1 conserva = 300 g
Pate de pasare Tomis Vascar,152,9,9,8.8,0,1 cutie = 100 g
Pate de porc Alipende,293,9.5,25.3,6.8,0,
Pate de porc Carniprod,243,13,21,0.5,0,
Pate de porc Irma,270,12,23,4,0,
Pate de porc Marasesti,162,9,10.8,7,0.4,
Pate de porc Scandia Sibiu,212,10,17,4,0,1 cutie = 200 g
Pate de pui Bucegi,149,10.8,10.1,3.8,0,
Pate de pui Sibiu,188,10.6,14.4,3,0,
Pate de rata Vascar,291,9.2,25,5,0,1 cutie = 120 g
Pate ficat de pasare Scandia Bucegi,161,12,10.1,3,0,1 cutie = 100 g
Pate ficat de rata Scandia Sibiu,228,10.5,18.9,4,0,1 cutie = 200 g
Pate integral de curcan Scandia Sibiu,258,9.7,22.2,4.8,0,1 cutie = 200 g
Pate popular Carpati,153,11.9,9.5,5,0,
Pate popular pasare Mega Image,153,11.9,9.5,5,1,1 cutie = 100g
Pate porc Top Apetit,240,11.4,19.8,4,0,1 cutie = 200 g
Pate taranesc 365,239,14,19,3,0,1 cutie = 170 g
Pate taranesc cu bucati mari de carne Tartini Caroli,324,13.5,33,3.5,0.1,1 cutie = 150 g
Pate tartinabil cu ficat Pick,318,12,29,1.3,0,1 tub = 150 g
Piele de pui,454,20,41,0,0,
Piept curcan fara piele crud,107,25,0.4,0,0,
Piept de curcan fara piele gatit,135,30.1,0.7,0,0,
Piept de porc cu os marinat Lidl,383,11,37,1.6,0,1 caserola = 500 g
Piept de pui dezosat Agricola,119,22.6,2.6,0.6,0,
"Piept de pui file, fara piele",114,21.2,2.6,0,0,1 buc = 200 g
Piept de pui gatit fara piele,151,29,3,0,0,
Piept pui bio Irma,110,21,1.5,0,0,
Pipota de pui cruda,94,17.7,2.1,0,0,
Pipote crude de pui Avicola Floreni,122,20.7,4,0,0,1 cutie = 500 g
Pipote si inimi Lidl,88,14.3,3,0.6,0,1 cutie = 500 g
Porc mistret,112,21.6,2.4,0.4,0,1 felie = 150 g
Potarniche,97,20.5,1.2,0.4,0,
"Prepelita, pulpe (japonez)",132,19.6,5,1.2,0,
Prosciutto Carrefour,341,17,28,2,0,
Prosciutto crudo Rovagnati,295,22,23,0,0,1 felie = 12.5 g
Pui pulpe fara piele gatite,172,27.7,6.8,0,0,1 buc = 150 g
Pulpa curcan gatita fara piele,159,29.2,3.8,0,0,
"Pulpa de curcan cruda, cu piele",144,19.5,6.7,0,0,
Pulpa de miel gatita,216,30,9.7,0,0,
Pulpa de pui cu piele cruda,159,17.6,9.3,0,0,
Pulpa de pui superioara dezosata fara piele Coco Rico,162.2,17.3,9,1.9,0,
Pulpa de vita,249,17,19,0.6,0,1 felie = 200 g
Pulpa de vitel gatita,171,25,7,0,0,
Pulpa inferioara de pui cu os si piele Coco Rico,190,16.8,13.5,0.3,0,
Pulpa pui afumata Agricola,137.9,15.3,7.1,2.3,0,
Pulpe pui la gratar Mega Image,193,24.2,10.7,0,0,1 cutie = 200 g
Pulpe superioare dezosate Euroavi,142,18.1,7.5,0.1,0,1 cutie = 650 g
"Rata, friptura",201,24,11,0,0,
Rulada curcan Cris-Tim,83.4,18.7,0.4,1.1,0,
Salam Montana Alpinia,228,15.1,17.4,2.7,0,1 baton = 300 g
Slanina de porc,638,6.3,67.7,0,0,
Snitel porc Mega Image,278,17,19.7,5.2,0,1 cutie = 210 g
Sorici de porc,563,63.4,35.2,0,0,
"Spata porc degresata, cruda",143,21.4,5.7,0,0,
Strut,114,25.4,1.4,0,0,
Sunca afumata Schwarzwalder,208,24,12,1,0,
Sunca cu crusta Dulano,138,20,6,1,0,1 tipla = 100 g
Sunca Deluxe Lidl,120,6,16,2.3,0,
Sunca feliata Padurea Neagra Best Farm,243,26,15,1,0,
Sunca porc Sisi,77,14,2,0.7,0,
Sunca presata Gilde,105,18,3.2,1,0,
Sunca York de pui Campofrio,110,18,1.5,3.5,0,1 baton = 500 g
Terina  rata si piper verde Casino,336,14,30,2.4,0,1 borcanel =180 g
Toba Auchan,222,10,20,0.5,0,
Toba de porc Caroli,113,14,9,0,0,
Ton in ulei de masline Bonta del Pescatore,279,21.6,21.4,0,0,
"Vitel, limba de vita",229,15.7,17.6,0.1,0,
