Aliment,Calorii,Proteine,Lipide,Carbohidrati,Fibre,Aproximari
"Iaurt 1,5% Actimel Zmeura",74,2.9,1.5,11.5,0,
"Iaurt 1,5% cu musli si piersici Premio Unicarm",85,2.9,1.5,15,0,1 pahar = 125 g
"Iaurt 1,5% Mariuca",47,3.8,1.5,4.6,0,
"Iaurt 1,8% cu visine Monor",103,5,1.8,16,0,1 pahar mare = 400 g
"Iaurt 1,8% Gusturi Romanesti",45.9,3.1,1.8,4,0,1 pahar = 175 g
Iaurt 10.9% grecesc Hacendado,123,4.1,10.9,2.1,0,
Iaurt 2% Helvetica,51,3.7,2,4.6,0,1 cutie = 200 g
Iaurt 2% Oke,47,3.3,2,4,0,
Iaurt 2% Premio Unicarm,48,3.3,2,4.1,0,
Iaurt 2% Vio,47,3.2,2,4,0,
"Iaurt 2,2% clasic Galacta",47.8,3,2.2,4,0,1 pahar = 165 g
"Iaurt 2,3% 4 cereale Nutriday Danone",92,3.2,2.3,14.5,0.3,1 pahar = 125 g
"Iaurt 2,4% cu fructe de padure Sanlacta",78,3.2,2.4,11,0,1 pahar = 200 g
"Iaurt 2,5% Aro",54,3.2,2.5,4.7,0,
"Iaurt 2,5% cu bucati mari de visine Milli",102,3,2,16,0,1 pahar mare = 375 g
"Iaurt 2,5% cu capsuni cu probiotice Milli",102,3.9,2.5,16,0,1 pahar = 125 g
"Iaurt 2,5% K-Classic",51,3.1,2.5,4.1,0.5,1 galeata = 900 g
"Iaurt 2,5% Muuna",53,3.2,2.5,4,0,
"Iaurt 2,6% bifidus natural Hacendado",64,4.7,2.6,5.3,0,1 cutie 125 gr.
"Iaurt 2,7% bio cu fructe Biotrend",100,3.7,2.7,14.5,0,1 pahar = 150 g
"Iaurt 2,7% cirese Activia Danone",94,3.4,2.7,14,0.2,
"Iaurt 2,8% Brenac",59.6,3.6,2.8,5,0,
"Iaurt 2,8% cu musli din cereale integrale Activia Danone",94,3.6,2.8,13.7,0.2,1 pahar = 125 ml
"Iaurt 2,8% Dar",54,3.2,2.8,4,0,
"Iaurt 2,8% ecologic LaDorna",56,3.2,2.8,4.6,0,1 pahar = 140 g
"Iaurt 2,8% germeni de grau Activia Danone",92,3.8,2.8,13,1.5,1 buc = 125 g
"Iaurt 2,8% Mandruta",55,3.4,2.8,4,0,1 pahar = 200 g
"Iaurt 2,8% musli Activia Danone",92,3.8,2.8,13,1.5,1 buc = 125 g
"Iaurt 2,8% musli si piersici Activia Danone",92,3.8,2.8,13,1.5,1 buc = 125 g
"Iaurt 2,8% Vio",57,3.6,2.8,4,0,1 pahar = 370 g
Iaurt 2.8% Natura,54,3.6,2.8,3.7,0,
Iaurt 3% Allelat,62,3.2,3,4.8,0,
Iaurt 3% cu topping de fulgi de porumb Mic Dejun Activia Danone,113,4.5,3,17,0.9,1 iaurt + cereale = 180 g
Iaurt 3% Vian,60,3.2,3,4.8,0,1 cutie = 175 g
"Iaurt 3,2% gustare de seara Activia Danone",70,3.2,2.1,9.5,0,1 portie = 150 g
"Iaurt 3,2% Naturlact",53,2.4,3.2,3.5,0,1 cutie = 300 g
"Iaurt 3,4% Naturell",69,4.1,3.4,5.6,0,
"Iaurt 3,5% Bifidus Prodlacta",44,3.2,3.5,0,0,
"Iaurt 3,5% extra cu omega 3 Milli",64,3.6,3.5,4,0,
"Iaurt 3,5% Milli Life+ Probiotice",64,3.6,3.5,4.1,0,
"Iaurt 3,5% Muller",72,4.4,3.5,5.1,0,1 cutie=150g
"Iaurt 3,5% natur K-Classic",60,3.2,3.5,4,0,
"Iaurt 3,5% Scandia Traditii",60,3.2,3.5,3.9,0,1 cutie = 190 g
"Iaurt 3,6% piersica alba bunacioasa Tnuva Yoplait",103,4.3,3.6,13.3,0,1 pahar = 125 g
Iaurt 4 cereale NutriDay Danone,92,3.2,2.3,14.5,0.3,
Iaurt 4% Helvetica Milk Pecica,70,3.2,4,5,0,1 cutie = 200 g
Iaurt 4% Ulcica Brenac,75.6,4.4,4,5.5,0,
"Iaurt 4,1% NutriDay Natural Danone",65,3.2,4.1,3.9,0,1 pahar = 140 g
"Iaurt 4,2% cu piersici Cremoso Danone",108,3.5,4.2,14,0,1 cutie = 125 g
"Iaurt 4,7% cocos Cremoso Danone",115,3.1,4.7,15,0.8,1 bucata = 120 g
"Iaurt 4,8% Sarut de caramel Danone Cremosso",113,3.9,4.8,13.5,0,1 cutie = 125 g
Iaurt 5% Olympus,80,4.6,5,4.1,0,
"Iaurt 5,3% cu cereale glazurate cu ciocolata Yoplait Top",139,4.2,5.3,18.6,0.2,1 bucata = 137
Iaurt 8% El Greco Brenac,116.4,6.1,8,5,0,1 pahar = 150 g
Iaurt Actimel Fructe de Padure,72,3,1.6,10.5,0,
Iaurt Actimel Natur,72,3,1.6,10.5,0,
Iaurt alb cremicios 4% Yoplait Tnuva,76,5.5,4,4.5,0,1 pahar = 150 g
"Iaurt Bianco 4,5%  Muller",109,5.1,4.5,11.3,0,
