Aliment,Calorii,Proteine,Lipide,Carbohidrati,Fibre,Aproximari
Faina dulce de lupin Govinda,320,43,12,10,28,
Fasole cu costita afumata Unicarm,125.7,8.8,4.9,10,0,1 conserva = 400 g
Fettuccine din Konjac Slim Pasta,9,0.2,0,0,0,1 pachet = 200 g
File peste cu spanac congelat Frosta,179.3,11.2,7,17.3,0,1 buc = 110 g
Foi de clatita 365,246,5.5,10.9,31.5,0,1 buc = 55 g
Foi de placinta Bella,280,9,0.1,60,0,1 foaie = 35 g
Foi de placinta Linco,290,9,1,61,0,1 pachet = 400 g
Foi placinta Frozen Dream Lidl,248,7.5,0.9,51.8,0,1 pachet = 400 g
Frappe Tnuva,68,2.8,2,9.8,0,
Frisca dulce Real,330,2,22,11,0,
Frisca lichida fara zahar Creme Patisserie Meggle,244,0.3,26,2.3,0,
Fructoza,400,0,0,99,0,
Fulgi de cocos Poex,660,6.9,64.5,23.7,16,1 punga = 500 g
Fulgi de fasole batuta Distins,450,26,1.6,63,0,
Fulgi de piure de cartofi natur 365 Mega Image,351,7.5,0.5,75,8,1 plic = 125 g
Fulgi nuca de cocos Carrefour,376,3.3,33.5,15.2,0,
Gem de caise fara zahar Hero,29,0.5,0.1,8,2,1 lingura = 20 g
Gnocchi de cartofi Antica Corte,153,3.5,0.4,29,0,
Gnocchi di patate De Cecco,155,3.5,0.5,34,0,
Gordon bleu semipreparat Ella Bella Transavia,160,14.6,7.5,7.4,0,
Guma de mestecat Airwaves Extreme,154,0,0,63.8,0,1 pastila = 1-2 g
Guma de mestecat Evolution Five,158,0,0,63.4,0,1 lama=3 g
Guma de mestecat fara zahar Orbit White,154,0,0,64,0,1 lama = 1.35 g
Guma de mestecat Five Electro,154,0,0,0,0,"1 lama = 2,5 g"
Guma de mestecat mints Fresh mint Winterfresh,245,0,1,98.3,0,"1 buc = 1,75 g"
Guma de mestecat Orbit Blueberry,167,0,0,0,0,"1 drajeu = 1,4 g"
Guma de mestecat Orbit cu capsuni si banane,166,0,0,67.9,0,"1 pachet = 13,6 g"
Guma de mestecat Orbit Kids,146,0,0,60.8,0,1 lama = 2.6 g
Guma de mestecat pastile pepene galben Orbit,170,0,0,69,0,"1 pastila = 1,4 g"
Guma de mestecat XL Energy Dextrose,386,0,0,95,0,1 cutie = 50 g
Hrean cu smantana Mikado Lidl,315,2.2,26.2,17.6,0,1 borcan = 185 g
Humus Chtaura,142,6,6.5,15,1.3,1cutie =380 g
Humus Durra,300,9.6,19.7,21,0.6,1 cutie = 180 g
Humus Olympia,90,5.6,2.1,12.4,0,1cutie = 400 g
Humus oriental 365 Mega Image,237,8.1,12.9,16.5,4.2,
Iaurt de soia cu afine Yofu Alpro,75,3.6,2,9.9,1.2,1 pahar = 125 g
Iaurt soia natur Joya,52,4.8,2.7,1.6,0,1 pahar = 150 g
Indulcitor Day Plus,34,0,0,1,0,1 pastila = 0.06 g
Indulcitor Diamant,6,0,0,1.4,0,1 tableta=1.5 g
Indulcitor eritritol Paleolit,20,0,0,1,0,1 punga = 500 g
Indulcitor K Classic,20,0,0,0.2,0,
Indulcitor lichid Cologran,0.6,0,0,0.1,0,
Indulcitor pudra Clio,340,0,0,85,0,"1lingurita = 0,5 g"
Indulcitor Stevia,0,0,0,0,0,
Indulcitor stevie Gerble,386,0,0,96,0,
Inghetata cu caramel si aroma de ciocolata Mars,171,2.1,9.1,19.9,0.3,1 cutie = 315 g
Inlocuitor cafea din orz Orzoro Nestle,26,0.4,0,5.9,0.4,1 cutie = 200 g
Inlocuitor lapte cafea Coffee Mate Nestle,548,2.2,34.6,56.9,0,1 lingurita = 5 g
Ketchup Ligeresa,60,1.1,0,11,1.2,
Lapte cocos bio Dr Antonio Martins Billa ,19,0.7,0.1,3.7,0.6,
Lapte condensat 10% Kaffeesahne,182,2.4,10,20.6,0,1 capsula = 14 g
Lapte de cocos Auchan,189,1,19,2.2,0,1cutie = 200 g
Lapte de cocos Biona,171,1.8,17,2.6,0.5,
Lapte de cocos Cora,197,2,19,4.5,0,
Lapte de cocos Sincere,160,1.5,17,1,0,
Lapte de soia cu capsuni bio Provamel,59,3.8,2.2,5.8,0.6,
Lapte de soia neindulcit Soya Soleil,27,2.9,1.7,0.1,0,
Lapte din soia Savia Danone,47,3.1,1.8,4.5,0.4,1 cutie = 1 l
Lapte praf de cocos Cocomi,688,12,60,25,6,1 lg =15 g
Lapte praf Nan 1 Nestle,519,9.6,27.7,57.8,0,
Lapte soia Central Lechera Asturiana,26,2.1,1.2,1.6,0,
Lapte soia vanilie Interspar Vital,40,2.9,1.7,3.9,0.5,
Lasagne alla Bolognese Buitoni,136,5.3,6.8,12.9,0.8,100
Legume cinci culori chinezesti,46,2,2,5,1,
Maioneza de casa 8 galbenusuri,530,10,54,2.6,0,
Mamaliga,70,2,0,15,1,
Mancare congelata picanta cu orez si carne fina de pui Nasi Goreng Yuan,120,6,4,15,0,1 punga = 750 g
Mancare greceasca congelata Gyros Frosta,117,5,4.6,13.9,0,1 punga = 600 g
Masa de cacao Sunlit,580,11,55,8.5,1,
Masline negre dietetice Defne,164,1.4,15.7,2.7,3.8,
Masline verzi cu ansoa Sol Mar,156,1.3,16.2,0.1,0,
Masline verzi umplute cu ardei Alipende,163,1.9,16,0,0,
Miere,325,0.4,0,81,0,1 lingurita = 5 g
Miere de palmier ,295,1.3,1,75,0,1 lingurita = 10 g
