Aliment,Calorii,Proteine,Lipide,Carbohidrati,Fibre,Aproximari
Chips Xtreme Wasabi Chio Chips,509,5.8,30,52,4.1,1 punga = 100 g
Chipsuri cu aroma de paprika Mister Potato Crisps ,506,14.6,25,55.5,6.9,
Chipsuri cu porumb Pural,508,8,24,65,0,1 punga = 125 g
Chipsuri cu smantana si chili Svenska LantChips,499,8.3,27.6,55.1,4.5,1 buc = 100 g
Chipsuri de legume Delhaize,435,5,25.5,39,14.6,1 punga = 100 g
Covricei cu sare Patis,430,3.6,11.2,76.7,1.5,
Covrigei Cora,355,8.3,12.7,49.5,0,
Covrigei cu aroma de pizza May Day,424,6.8,7.1,82.1,0,
Covrigei cu chimen Pavi,302.2,10,8.3,67,0,1 covrigel = 4 g
Covrigei cu mac Boromir,418,11.4,6.8,76.4,0,1 punga = 100 g
Covrigei cu mac Rollton,398,9.8,9.8,75.8,0,1 punga =100 g
Covrigei cu masline Taralli,583,10.3,23,85,11,
Covrigei cu sare Croco,403,11.8,8.9,68.8,3.8,1 punga=750 g
Covrigei cu seminte de chimen No 1 Carrefour,276,8,8,43,0,
Covrigei cu tarate Lidas ,399.5,8.1,11.5,70.6,0,
Covrigei cu tarate si ulei din turte de masline Crispy Goodies,462.4,10.7,14.4,69.1,7,1 punga = 170 g
Covrigei cu vin rosu Vel Pitar,427,9.1,13.1,65.3,5.6,
Covrigei dietetici Linpan,243.6,8,1.7,44,0,o punga = 100 g
Covrigei Piciul cu graham Franzeluta,451,12.4,10.7,74.6,0,1 punga = 190 g
Covrigei Pretzel crackers Original Snack Factory,399.6,10.5,3.8,80.8,3.1,
Covrigei sarati Pambac,390,10.7,4.6,77,2.7,1 covrig = 7 g
Covrigei simpli Luno,276,8,8,43,0,1 punga = 100 g
Covrigei vanilati Circuss,425,11.6,8.4,73.1,5.3,
Covrigi cu mac Pambac,400,10.8,4.8,77,2.7,1 covrig = 7 g
Covrigi cu sare Toortitzi Alka,423,6.9,8.1,79.5,0.6,1 punga mare = 180 g
Covrigi cu tarate Rontaila Braila,365,8.6,3.4,75.2,1.3,1 punga = 250 g
Covrigi Garden Mix Alka Taralli ,467,8.1,18.1,68,0,1 punga = 125 g
Covrigi superiori Moara de aur,390,11.7,6.2,73,2.3,1 punga = 250 g
Crackeri cu cereale Crich,429,10.8,14,64.9,4.9,1 mini pachet = 25 g
Crackers cu sare Croco,517,7.8,28.5,57.4,2.4,1 punga = 100 g
