Aliment,Calorii,Proteine,Lipide,Carbohidrati,Fibre,Aproximari
Pulbere din grau verde Puterea Naturii,160.6,25.6,0,14.7,29.3,
Pulbere orz verde bio Naturya,171,24,2,14.3,47.7,
Shake cu aroma de cappuccino Herbalife,380,39.7,11.3,19.8,20.1,
Shake F1 ciocolata Herbalife,88,7,2.6,8.4,1,
Shake F1 mar caramelizat si scortisoara Herbalife,88,7.2,2.7,7.9,1.6,
Shake Meta Diet BioTech,358,16,1.5,70,0,1 masura = 28.4g
Soy protein My protein,387,90,0.5,5,1,1 cupa = 30 g
Spirulina Now,333,66,0,33,0,1 doza 6 pastile = 3 g
Supliment alimentar pe baza de miere Promiod,310,0.7,18,56,0,
Supliment caseinat de calciu Pak Redis,371,90,1.2,0,0,1 cutie = 900 g
Supliment de fibre din cacao Dieta Plus Rommac,295,4.7,0.5,68,23.3,1 plic = 30 g
Supliment de fibre din citrice Dieta Plus Rommac,330,0.6,0,85,13,1 plic = 30 g
Supliment Diomfibra light,172.3,7.2,0.9,52.6,23.7,
Supliment proteic ciocolata Elite Dymatize,361,74,6,6,0,
Supliment proteic Nutrifort-R,389,25,1,70,0,1 portie = 105 g
Supliment proteic WPI natur Pro Nutrition,364,91,1,0.1,0,1 doza = 30 g
Suplimente  Amino 2700 Nutriline,8,2,0,0,0,1tbl
Suplimente 100% Egg Protein Gold Standard Optimum Nutrition On,360,78.5,1.6,6.5,0,
Suplimente 100% Whey Protein Scitec Nutrition,384,76,8,5.6,0,1 cupa = 25 g
Suplimente Advanced Whey HCI,389,80,5.2,5.5,0.7,1 masura = 30 g
Suplimente Amino Liquid 50.000 Pro Nutrition,191,50,0,0,0,1 portie = 40 g
Suplimente Arginine Liquid Scitec Nutrition,276,40.5,0.1,16.8,0,1 masura = 25 ml
Suplimente Beef Protein Olympian Labs,386,80.7,1,7,0,1 masura = 28.5 g
Suplimente capsuni QNT Zero Carb Metapure ,360,85.9,1.2,1.5,0,
Suplimente Carbo Plus Natural Plus,400,0,0,100,0,
Suplimente CarboX Biotech Nutrition,410,0,0,100,0,1 portie = 50 g
Suplimente CFM Whey Protein,370,82,2,6,0,1 portie = 30 g
Suplimente ciocolata Forever Lite Ultra,360,68,4,16,4,1 masura = 25 g
Suplimente Collagen renover Trec Nutrition,34,8.8,0,0,0,3 cupe =10 g
Suplimente concentrat din zer WPC 80 Universe,398,80,5.3,7.6,0,
Suplimente cu gust de vanilie QNT Metapure,354,84.3,1.2,1.5,0,1 masura = 30 g
Suplimente cu unt de migdale Biona,578,21.3,50.6,19.7,11.8,
Suplimente Elite Gourmet Dymatize,386.4,67.6,4.8,16.1,0,
Suplimente Elite Mass Gainer Dymatize,400,36.6,4,51.3,1.3,4 masuri =  150 g
Suplimente Elite Whey Protein Isolat Chocolate Fudge Dymatize,360,74,5,9,3,1 cupa = 32.8 g
Suplimente Fast Hydration Powertabs Isostar,362,0,0,79.9,0,2 tablete = 24 g
Suplimente formula 3 Herbalife,383.3,83.3,4.3,3.7,0,1 lingura rasa (portie) = 6 g
Suplimente Gaspari Nutrition MyoFusion,416.6,69.4,8.3,13.9,2.7,1 masura = 36 g
Suplimente Gigant Pro Mass Pro Nutrition,390,36,4,52,0,
Suplimente Gold Standard 100% whey mocha cappucino Optimum,371,77.3,3.6,7.3,1.6,1 masura = 32 g
Suplimente Hidro Whey Platinum,350,75,2.5,5,0,1 portie = 30 g
Suplimente Impact Whey Isolate MyProteins,370,92.3,0,0.7,0,
Suplimente Iso Soy Pronutrition Protein Shake ,358,88,0.5,0,1,1 cupa = 28 g
Suplimente Isotonic-R Redis,380,0,0,94.9,0,1 plic = 50 g
Suplimente Izolat proteic din zer Dymatize Iso-100 Strawberry,378,89,0,0,0,
Suplimente K MASS Natural Plus,379.6,81.2,4.5,15,0,
Suplimente Liquid Amino 30 Scitec,172,30,0.1,10,0,0
Suplimente Mass Forte Creatin R Redis,385,24.8,1,68.5,0,1 cupa =35 g
Suplimente Matrix Protein Natural Plus,376.3,76.1,4.2,13.9,0,
Suplimente Max Protein New Formula Natural Plus,396,96,0.5,2,0,1 cupa =38 g
Suplimente MHP Probolic-SR,464.3,71.4,14.3,7.2,0,1 masura= 28 g
Suplimente MHP Up Your Mass,386,34.8,8.3,44,9,1 portie = 132g
Suplimente Milk & Egg Strength Nutrition,376.9,70,0.7,16.3,0,1 cupa = 30 g
