Aliment,Calorii,Proteine,Lipide,Carbohidrati,Fibre,Aproximari
Bautura racoritoare Bio portocale Andechser,43,0.5,0.1,10,0,1 sticla = 500 g
Bautura racoritoare cocktail rosu Multi vitamine Tymbark,37,0.1,0,9.2,0,
Bautura racoritoare cu capsuni Tymbark Fontea,18,0,0,4.5,0,
Bautura racoritoare cu lamaie Tymbark Fontea,8,0,0,4.5,0,
Bautura racoritoare cu visine si mere Tymbark,49,0,0,12.1,0,
Bautura racoritoare Dr. Pepper Zero,0.4,0,0,0,0,1 doza = 330 ml
Bautura racoritoare portocale si mango Hortex,41,0.2,0.1,10,0,
Bautura racoritoare Tymbark Cool Visine,50,0,0,10,0,
Bauturca sugar free 7up,0.4,0,0,0.1,0,1 cutie = 330 ml
Bere Ambrosius,55,0.7,0,2.8,0,0
Bere Becks Green Lemon,37,0,0,6,0,
Bere blonda Desperados,56.1,0,1,0,0,1 sticla = 330 ml
Bere bruna Silva,48,0.3,0,5.7,0,
Bere Ciucas,43,1,0,4,0,
Bere fara alcool Bergenbier,22,0.3,0.1,5.4,0,1 doza = 500 g
Bere Heineken,42.3,0.4,0,3.2,0,"1 sticla = 0,33 ml"
Bere nefiltrata Holsten Weizen,43,0,0,4,0,1 sticla  = 500 ml
Bere Radler Ciuc,27,0,0,0,0,
Bere Stephans Brau,39,0.4,0,2.4,0,
Bere Ursus Cooler fara alcool,30,0.1,0,7.2,0,
Cafe Latte McDonalds,22.5,1.5,1,2,0,1 pahar = 200 ml
Cafea 2 in 1 fara zahar Mokate,415,4,23,48,0,1 buc = 18 g
Cafea 3 in 1 Doncafe,452,1,16,77,0,1 plic = 18 g
Cafea Arabita pentru filtru Amway,183,13.3,12.8,1.5,0,1 ceasca = 15 g
Cafea cappuccino cu alune Doncafe Mixes,450,3,13,80,0,1 plic = 12.5 g
Cafea cu lapte fara zahar de la automat,22.5,0.4,2,0.6,0,1 pahar = 150 g
