Aliment,Calorii,Proteine,Lipide,Carbohidrati,Fibre,Aproximari
Cereale integrale Fitness,372,8.4,1.4,78.4,1.4,1 punga = 500 g
Cereale Kellogg's All Brann Plus,280,14,3.5,48,27,
Cereale mic dejun Lion Nestle,400,8.7,5.5,76.1,5.5,1 punga =  550g
Cereale musli cu fructe Rommac,330,8.2,4,69,10,
Cereale musli integrale 30% fructe Carrefour,360,9,7,65,11,
Cereale Musli Nuts Sanovita,362,8.7,11.5,69,2,
Cereale musli tropical Nestle,365,9.3,6.9,66.3,7.2,1 punga = 350 g
Cereale Nesquik Duo Nestle,400,7.8,6.1,75.6,5.3,
Cereale Nestle Cini Minis,412,4.9,9.9,75.9,4.1,
Cereale Nestle Fitness cu fructe,353,6,2.1,77.4,5,
Cereale noix de coco Dukan,247,10.1,7.3,26.9,28.3,1 cutie = 350 g
Cereale ovaz Cheerios Nestle,385,10.5,5.2,69.8,8.5,1 punga = 120 g
Cereale tarate ovaz gust caramel Dukan,298,13.1,7.8,27.4,6.2,1 cutie = 500 g
Cereale vanilie si scortisoara Go Light Rommac,340,7.9,2.1,75,6.5,
Chipsuri din cereale cu seminte de chimen Rommac,366,8,1.2,78.5,5,1 punga = 150 g
Complex din fulgi de cereale cu stafide Sanovita,393,10.3,3,77.4,0,1 punga = 500 g
Conserva porumb dulce auriu D'Aucy,91,2.9,2.4,12.2,3.6,
Corn cakes Delhaize,391,5.6,1.4,89,1.5,1 cutie = 130 g
Cous Cous Bia Italian Food,353,12,1.9,69.6,4.4,
Cous cous Urtekram,360,11,2.3,69,7.7,
Cous-cous nepreparat,356,13,1,72,2,
Covrig patiserie cu sare,331.4,10.5,7.1,56.6,2.8,1 covrig = 80 g
Covrigei Capollini,410,10,13,71,0,
Covrigei cu sare Capollini Pan Group,442.5,9.5,12.5,73,0.6,
Covrigei cu tarate Hai-Hui,418,13.2,14.5,65.4,4.7,1 punga mica = 100 g
"Covrigei superiori cu rosii, busuioc si oregano Boromir",429,10.9,10.3,73.3,0,1 punga = 100 g
Covrigei vanilati Dorivi Prodcom,441.4,10.2,12,73.1,0,1 punga =100 g
Covrigi de Buzau Boromir,348,9,4,69,0,1 buc = 10 g
Crackeri fara colesterol Misura Novita,382,13.9,9.6,60,11.8,1 cracker = 6.5 g
Crackeri integrali Delhaize Mega Image,360,12,5,67,8,1 buc = 13 g
Crackeri Magretti Galbusera,370,11.6,1.5,77.4,4,1 cracker = 6 g
Crackers de orez Teriyaki Delhaize,401,8,3.6,85,0,
Crutoane cu ulei de masline Panmonviso,438,11.5,15.5,63.2,15,1 punga = 125 g
Detox mix fitness Pirifan,390,11.8,25.6,7.8,40,1 punga = 200 g
Faina alba 000 Castello,348,10.3,0.9,74.2,1,
Faina alba de grau 000 Grania,358,11.5,0.9,76,0.6,
Faina alba de grau 650 Auchan,343,10.5,1,72.9,0,
Faina alba de grau 650 Kaufland,342,10,0.9,73.6,0,
Faina alba de grau 650 pt panificatie Dobrogea,340,10,1,72,1.4,1 punga = 1 kg
Faina alba de grau Dobrogea,384,11.5,1,80,1.1,
Faina alba pentru prajituri Drobrogea,380,10.5,1,80,1.1,
Faina alba superioara Boromir,346,10.3,0.9,74.2,0,
Faina alba superioara Pambac,352,10,0.9,76,0,
Faina bio integrala de grau All Green,335,13,1.9,72.7,7,1 punga = 1 kg
Faina cocos Nature Cookta,259,19.3,8.6,25.2,0,1 punga = 250 g
Faina de grau alba 650 K-Classic,350,11,1.3,73,1,
Faina de grau integrala Grafschafter,307,11.4,2.4,60,10,
Faina de grau macinis integrala Dobrogea,349,12.5,1.9,68.2,19,
Faina de grau neagra pt masina de facut paine Baneasa,347,10.5,1.4,72.1,2,
Faina de mei Solaris,378,11,4.2,72.9,8.5,
Faina de migdale Solaris,585,26,51,13.5,0,1 punga =150 g
Faina de naut Solaris,386,22.4,7,60.7,9.7,1 pachet = 500 g
Faina de orez integral Solaris,354,6.5,2.8,70.9,6.5,
Faina de patiserie dietetica SanoVita,328,27.6,6.8,39.2,17.2,1 punga = 1 kg
Faina de secara,354,9.4,1.8,77.5,14.6,
Faina de secara integrala Bio Greno,320,10.8,1.5,58.8,0,1 pachet = 1kg
