Aliment,Calorii,Proteine,Lipide,Carbohidrati,Fibre,Aproximari
Mustar  Alimcom,158.5,9.6,8.9,10,0,1 tub = 100 g
Mustar clasic Carrefour,36,4.5,0.4,3.4,0,
Mustar clasic Knorr,105,4.5,5.4,8.4,0.4,
Mustar clasic La Grande Famiglia,54,4.1,2.4,2.1,0,1 borcan = 300 g
Mustar clasic Polimark,130,5,5.8,14.4,0,
Mustar Dijon Carrefour,147,7.2,11.5,3.6,0,1 borcan = 270 g
Mustar dulce Mikado,102.1,3.8,4.1,10.8,3,1 borcan = 300 g
Mustar grill Benita,131,5,5.8,7.2,0,1 lingurita = 10 g
Mustar iute Lowensenf,172,9,12.6,1.6,0,1 borcan = 250 ml
Mustar mici Univer,108,4.1,4.7,10.8,2.4,1 flacon = 440 g 
Oregano uscat,306,11,10.3,64.4,42.8,
Otet de visine Raureni,14,0.7,0.2,2.5,0,"1 sticla = 0,5 l"
Paprika,289,14.8,13,55.7,37.4,1 lingurita = 6 g
Patrunjel uscat,276,22.4,4.4,51.7,30.4,
Piper negru,255,11,3.3,64.8,26.5,
Rozmarin proaspat,131,3.3,5.9,20.7,14.1,
Rucola,25,2.6,0.7,3.7,1.6,
Sare de masa,0,0,0,0,0,
Scortisoara macinata Alex,472.6,3.9,3.2,79.9,54.3,1 plic = 15 g
Scortisoara macinata Orlando's,456,4,1.2,80.6,53.1,1 lingurita rasa = 2 g
Sos soia Urtekram,70,8.9,0,8.4,0,
Tarhon frunze verzi,49,3,1,6,1.5,
Tzatziki,54,4,0.4,8.6,0.8,
Usturoi,149,6.4,0.5,33,2.1,1 graunte = 3 g
Vegeta Podravka,137,8.5,0.6,24.5,0,1 lingurita = 3 g
Zahar cristal Diamant,395,0,0,100,0,
