Aliment,Calorii,Proteine,Lipide,Carbohidrati,Fibre,Aproximari
Masline verzi cu aroma de anchoa Fontoliva,168,1.4,18,0,0,1 borcan = 1950 g
Masline verzi fara samburi Fine Life,180,1,18.7,1,2,1 borcan = 340 g net
Mere coapte,72.8,0,0,19.6,2.8,
Mere Starkinson,47,0.4,0.1,11.8,0,
Merisoare confiate SanoVita,328,0.5,0.6,81,0,1 punga = 100 g
Merisoare deshidratate Mc Ennedy,320,0.1,0.5,82,0,
Merisoare Detelina's,353,0.1,1.4,82,6,1 pachet = 100 g
Minola,64,1,1,12,2,1 buc = 100 g
Mix de fructe uscate si nuci Royal Nut Kauffland Classic,505,10.3,35.6,31.7,7.3,1 punga = 200 g
Mix fructe congelate Hortex,32,1,0.3,6.4,0,
Mix fructe de padure congelate Hortex,40,1,0.3,6.4,0.8,
Mix fructe de padure Happy Food,26,1,0.1,5.6,0,
Mix fructe deshidratate Clever,314,2.7,2.6,66.5,6.8,1 punga = 200 g
Mure,43,1.4,0.5,9.6,5.3,
Mure congelate rapid First Fruit,28,1.5,0.5,4.7,5,1 cutie = 300 g
Mure premium Paulus,42,1.3,1.1,6.5,0,
Nuca de cocos macinata Aldi R,657,6.8,64.5,12.4,16.3,1 punga = 125 g
Nuci pecan Orlando's,737,10,70,13.3,6.7,
Papaia confiata Gardis,351,0.4,0,62.5,5,
Papaya confiat Sanovita,351,0.4,0.1,85,0,
Pepene galben,34,0.8,0.2,8.2,0.9,
Pepene verde (cu miez rosu),30,0.6,0.2,7.6,0.4,
Pere chinezesti,42,0.5,0.2,10.7,3.6,
Pere Williams,34,0,0,8,2,
Piersici,39,0.9,0.3,9.5,1.5,1 buc = 100 g
Piersici (congelate),51,1,0,10.3,1.3,
Pitahaya,60,2,2,9,1,
Pomelo,38,0.8,0,9.6,1,
Prune,59.7,0.7,0,13.1,2.1,
Prune deshidratate Delhaize,250,2,0.3,56,7.5,4 prune = 25 g
Prune deshidratate Gardis,254,2.5,0,61,0,
Prune deshidratate Poex,284,2.7,0.7,63,7.6,
Prune rosii,47,0.8,0,11.4,1.4,
Prune uscate Arimex,237,2.6,0.1,56,1.3,
Prune uscate Sanovita,190,2.3,0.4,44,0,
Rodii,83,1.7,1.2,18.7,4,1 rodie = 200 grame
Smochine confiate Fikjur,251,3.1,1.2,56,9.3,
Smochine deshidratate Clever,298,3.3,0.9,64,10,1 punga = 200 g
Smochine deshidratate Nutco fresh,278,3.3,0.9,57,9.8,1 cutie = 250 g
Smochine deshidratate Orlando's,267,4.3,1.3,58,9.9,
Smochine deshidratate uscate Nutco,267,2.2,0.6,75,7.1,1 pachet = 250 g
"Smochine, uscate",249,3.3,0.9,63.9,9.8,
Smoothie smuticeala mere si coacaze Sloop,42,0.3,0.2,9.7,0.8,1 sticla = 250 ml
Stafide aurii Carrefour,300,2.5,0.5,71,0,
Stafide aurii extra Jasmin,300,2.5,0.5,72.5,4,1 punga = 500 g
Stafide brune Carrefour,300,2.5,0.5,71.4,0,1 punga=250 g
Stafide brune Nutco Fresh Lidl,325,3,0.5,75,4,
Stafide brune Proxi,300,2.5,0.5,71,0,1 punga = 250 g
Stafide Jumbo Orlando's,306.5,2.5,0.5,71,4,1 punga = 100 g
Stafide negre Sano Vita,284,2.3,0.4,67.8,5.9,1 punga = 500 g
