Aliment,Calorii,Proteine,Lipide,Carbohidrati,Fibre,Aproximari
Paine de secara Moulinex ,309,9.5,4.2,59,7,
Paine de secara Silhouette Vita,217,6.1,0.8,38.5,15.6,
Paine de secara toast Carrefour,254,8.4,4,46,5.5,1 felie = 25 g
Paine de tarate,194,9,2,44,12,
Paine dieta feliata Titan,217.7,9,0.9,43.4,0,
Paine Dobrogea Bongrana Sana,262,19,4,32,11,
Paine feliata cu faina de secara 365,227,12.9,0.8,42.4,1.1,1 felie = 23 g
Paine feliata cu faina macinis integral 365,262,10.5,4.9,39.7,8.4,1 felie = 23g
Paine Feliata Graham Titan,224.5,8.8,0.9,45.4,1,1 felie = 25 g
Paine feliata la tava cu faina graham Boromir,273.5,10.5,1.4,54.7,7.6,1 punga = 400 g
Paine feliata toast mediteranean Bongrana,289,11,6,46,0,1 felie = 20.8 g
Paine French Toast Integral,258,9.5,3.5,47,3.6,1 felie = 25 g
Paine French Toast seminte,270,10,6.5,43,0.6,1 felie  = 25 g
Paine graham  feliata Galmopan,243,7.4,0.9,51.3,3,
Paine graham feliata Pambac,256,9.3,1.2,52,13.7,
Paine graham Fitness Line,384,11.7,2.6,83,6.8,
Paine graham Hapi Hap,225,13.8,0.7,41.4,1.3,1 felie = 25g
Paine graham Sylvester,238,11.6,1.7,40.5,7.7,1 paine = 500 g
Paine Grau Intreg Vel Pitar,220,12.5,1.7,39,10.3,1 felie = 19 g
Paine hipoglucidica Bongrana Sana,244,19,4,32,11,"1 felie = 20,8 g"
Paine hipoglucidica Simpa,225.4,19.9,2.8,30.1,2,1 punga = 300 g
Paine integrala 8 cereale  Pema,188,5,2,37,8,1 felie = 60 g
Paine integrala Allinson,200,8.5,0.9,39,6.5,1 felie = 40 g
Paine integrala Bimbo,244,10.6,2.5,41.8,6,1 felie = 19 g
Paine integrala Boromir,267,11.4,1.5,52,8,
Paine integrala cu secara K-Classic,177,5,1,32,9,
Paine integrala cu secara Pural,171,4,1,36,9,
Paine integrala cu seminte LIdl,247,9.3,6,35.2,7,
Paine integrala DailyToast Vel Pitar,209.3,8.2,1.3,41.2,7.6,1 felie=24 g
Paine integrala de secara cu seminte de floarea soarelui Mestemacher,201,5.1,3.7,31.6,10.6,1 paine = 500 g
