Aliment,Calorii,Proteine,Lipide,Carbohidrati,Fibre,Aproximari
Salata Coleslaw KFC,210,0.5,13.2,22.3,1,1 buc = 180 g
Salata cu ton Ready 2 Eat Olympia,216,4.1,18,9.5,2,1 cutie = 400 g
Salata de cruditati fitness McDonalds,68,6.5,2.6,2,1,1 cutie = 250 g
Salata fillet pui KFC,70,6,3.7,4.9,3.5,1 salata = 350 g
Salata greceasca Snack Attack,173,12.2,12.1,2.8,1,1 cutie = 260 g
Salata Maxi Caesar cu piept de pui la gratar McDonald's,210,25,9,6,3,
Salata maxi pui grill (fara dressing) McDonalds,105,12.5,4,3,1.5,1 salata = 200 g
Salata Midi Greek McDonalds,125,6,9,5,2,1 salata = 100 g
Salata varza si pui Snack Attack,102.1,8.7,5.1,4.6,0,1 buc = 260 g
Sandvis cu porc si sos de hrean McDonalds,665,32,41,40,3,
Sandwich 15 cm curcan light Subway,134.4,9.1,1.6,22,2,1 sandwich 15cm = 209 g
Sandwich Big Tasty McDonalds,230,12,12,15.5,1.4,1 buc = 370 g
Sandwich Bonfillet  KFC,250,12.7,10.1,27.3,0.4,1 buc = 135 g
Sandwich Burger King XXL,1038,58.4,66.9,48.2,3.1,Datele per 1 burger.
Sandwich crispy bacon si ardei gras Snack Attack,277,13.8,12.5,27.3,0,1 cutie = 195 g
Sandwich cu branza feta si cascaval Green Up Papa Verde Branzarella,212.1,8.9,20.1,7.5,0,1 bucata = 195 g
Sandwich cu muschi si cascaval Valentino,260,9.2,9,29.5,0,
Sandwich cu piept de pui condimentat Meltz KFC,288.9,19.7,14.7,19.4,0.4,1 buc = 170 g
Sandwich cu pui Shanghai King,148,12.2,2,22.2,2,1 buc = 210 g
Sandwich cu salam de Sibiu si mozzarella x3 Rivoli,344.1,15.3,20.7,22.1,0,1 buc = 83 g
Sandwich cu salata de cruditati si pui 365,267,6.2,13.9,29.5,1.4,1 cutie = 200 g
Sandwich cu sunca de pui Valentino,245,10.3,8,28,0,1 sandwish = 230 g
Sandwich humus cu ardei copt Snack Attack,211,6.4,9.2,24.4,0,1 buc = 200 g
Sandwich muschi tiganesc Funky Fresh,260,12,7.3,36.5,0,1 buc = 155 g
Sandwich piept pui grill Sandwich Time,225,14.2,5.8,29.1,6,1 buc = 200 g
Sandwich pui la grill si cruditati Snack Attack,186,11,6.5,19.6,0,
Sandwich snitel pui Funky Fresh,279,12.4,11.5,31.6,0,1 buc = 170 g
"Sandwich sunca curcan, cascaval, castraveti murati Ciao Green Up Papa Verde",287,8.1,12.8,33,0,1 buc = 200 g
Sandwich sunca Praga si branza Cedar Snack Attack,196,12.9,7.8,18.4,0,1 cutie = 195 g
Sandwich Tower burger KFC,280,10.8,14,27.9,0.9,1 buc = 200 g
Sandwich Twister KFC,196.7,8.9,9.2,19.9,0.6,1 buc = 165 g
Sandwich Veggie Party Subway,161,9,3.8,21.8,4,1 buc 15 cm = 247 g
Sandwich Wikinger Nordsee,226,16,37,47,0,1 buc = 245 g
Sandwichi cu salam banatean si cascaval 365,287.5,6.5,14.5,32.5,0,1 cutie = 170 g
Shaorma,238,8.2,14.4,18.9,1.7,1 buc mica = 500 g
Snitel de pui Edenia,235,14.5,8.2,24.5,0.5,1 cutie = 320 g
Snitel din piept de pui semipreparat Sadia,208,15,10,14,1.5,
Strudel cu gem de caise Derpan,443,6.8,25.6,53.6,0,1 bu c= 55 g
Supa crema de rosii instant preparata Royco,36,0.6,0.7,6.7,0.4,1 plic = 200 ml supa preparata
