Aliment,Calorii,Proteine,Lipide,Carbohidrati,Fibre,Aproximari
Castraveti acrii Irma,25,1.5,0.5,4,0,
Castraveti in otet Atifco,11.2,0.6,0,1.8,0.8,
Castraveti in otet cornichon Bodrum,25.1,1.4,0.2,4.4,0,
Castraveti in otet Dinadi,12.4,0.6,0,2,1,1 borcan = 670 g
Castraveti in otet Maxim's,12.4,0.6,0,2,1,
Castraveti in otet Olympia,40,0.5,1,7.2,0,1 castravete = 40g
Castraveti in otet Turan,12.4,0.6,0,1.9,1,1 borcan = 350 g
Castraveti murati,12,1,0.2,3,1,1 buc = 15 g
Castraveti murati Chira,23,0.4,0.1,4.6,0,1 borcan = 850 g
Castraveti murati Defne,12.4,0.6,0,2,1,
Castraveti murati Nora,45,0.7,0.5,9,0,
Ceapa,42,0.9,0.1,10.1,1.4,
Ceapa noua,37,2.2,0.3,6.3,1.4,
Ceapa rosie (congelata),37,1.4,0.1,7.4,1.2,
Chiftelute de legume Carrefour,159,3.4,5.3,22,0,1 cutie = 220 g
Ciuerci congelate bureti si hribi Hortex,25,2,0.5,2.5,0,1 punga = 300 g
Ciuperci brune Lidl,35,5,0.5,2.5,0,1 cutie = 500 g
Ciuperci champignon la cutie Vitae D'oro,15,2,0.5,0,2.8,
"Ciuperci champignon, crude",22,3.1,0.3,3.3,1,1 buc = 20g
Ciuperci congelate Aldi R,42,2.6,0.3,7.2,1.6,1 punga = 450 g
Ciuperci congelate Friofrigo,15,2.7,0.2,0.7,0,
Ciuperci congelate Hacendado,16,1.8,0.3,0.5,1.9,Punga 450g/ o portie 150g
Ciuperci congelate Mega Image,19,2.8,0.1,0.4,2.5,
Ciuperci de padure cu cartofi Hortex,45,2.4,1.3,5.9,1.3,
Ciuperci feliate Bonduelle,20,2.3,0.5,0.6,2,
Ciuperci feliate in sos tomat Bonduelle,44,1.8,0.1,6.1,1.9,1 borcan = 280 g
Ciuperci feliate Merve,20,2,0.2,1.4,2.3,
Ciuperci fierte,28,2.2,0,5.3,2.2,
Ciuperci intregi champignon Bonduelle,19,2.2,0.4,0.6,2.1,1 conserva = 400 g
Ciuperci intregi Hortex,17,2.7,0.4,0.6,0,
Ciuperci intregi la cutie Kaufland,21,2.1,0.5,0.5,2.1,1 cutie = 400 g
Ciuperci taiate Auchan,18,2.1,0.4,0.2,2.8,
Ciuperci taiate Carrefour,18,2.1,0.1,2.8,0.2,
Ciuperci taiate Edenia,12,1.2,0.1,1.2,0.9,1 punga = 450 g
Ciuperci taiate Lutece,18,2.1,0.4,0.2,2.8,1 borcan = 280 g
Conopida,25,2.4,0.1,5.3,2.5,
Conopida congelata BoVita,30,2.4,0.4,3.9,0,1 punga = 450 g
Conopida congelata Greens,24.7,2,0.3,3.5,0,
Conopida congelata Mercadona,22,2.2,0.2,3.1,2.5,1 punga = 1000 g
Conopida Iglo Edeka,61,2.8,3,5.1,1.2,
Conserva  de fasole rosie Carrefour,87,8.1,0.6,12.3,5.8,1 cutie = 240 g
Conserva anghinare in apa cu sare Freshona,31,1.8,0,6,2,o cutie=240 g
Conserva barba caprei (salsifis) Auchan,34,1.3,0.1,6.3,0,
Conserva ciuperci intregi Darinne,30,2.5,0.5,0.5,0,
Conserva ciuperci intregi La Grande Famiglia,11,2.3,1,0.4,0,
Conserva ciuperci taiate Jardinelle,14,2.5,0.2,0.3,0,
Conserva de amestec mexican conserva D'Aucy,49.4,3.4,1,6.7,0,1 conserva = 270 g
Conserva de fasole,143,9,0.7,22.6,9,
Conserva de fasole rosie D'Aucy,106.2,8.4,0.6,16.8,0,1 cutie = 250 g
Conserva de mazare Vitae d`Oro,74,5.5,0.7,7.4,7.8,
Conserva de rosii decojite in conserva Ciro,19,1.2,0.1,3.2,0.5,1 cutie =400 g
Conserva defasole alba boabe Carrefour,85,8.2,0.6,11.7,8.7,1cutie = 400 g
Conserva fasole alba boabe Bonduelle clasic,66,7,0.4,6,5.3,1 cutie = 400 g
Conserva fasole alba cu rosii Cora,75,5.5,0.6,11.9,4.7,1 cutie = 400 g
Conserva fasole alba in sos de ardei iute Kaufland,88,4.9,0.9,12.4,5.5,
Conserva fasole boabe alba in sos tomat Kaufland,94,5.1,1,13.5,5.3,1 cutie = 420 g
Conserva fasole galbena pastai Naturelo,24,1.5,0.2,4,2,
Conserva fasole indiana Bonduelle,72,4.8,1.1,10.8,5.1,1 cutie = 400 g
