Aliment,Calorii,Proteine,Lipide,Carbohidrati,Fibre,Aproximari
Jambon copt Mega Image,115,21.1,3.1,0.7,0.1,1 pachet = 150 g
Jambon crud uscat Auvergne Cora,229,27,13,1,0,1 pac = 100 g
Jambon curcan Aldis,171.6,12.8,12.5,1.8,0,1 pachet = 150 g
Jambon de curcan Aldi R,64.5,14,0.5,1,0.1,1 cutie = 125 g
Jambon fiert 365 Mega Image,109,21.5,2,1,0.5,1 pachet = 150 g
Jambon light Ifantis,90,17.5,2,1,0,1 buc  = 120 g
Jambon porc Angst,115,19.6,3.5,1.2,0,
Jambon prefiert Aldi,129,20,5,0.9,0.5,1 cutie = 100 g
Jambon presat porc Aldis,226,12,22,3,0,
Jambon Serrano Dia ,246,32,13,0.5,0,
Jambon Serrano feliat Auchan,286,31.1,17.6,0.8,0,1 pachet = 250 g
Jambon taranesc Abraham,218,22,14,1,0,1 punga = 80 g
Jambon Twinner,108,19,3,1,0.5,
Jumari traditionale Poiana Marului,560,37,46,0,0,
Kaiser afumat vid 365,249,14.9,20.8,0.5,0,
Kaiser Fox,148,17.9,7.6,1.2,1.2,
Kaize afumat Auchan,330,15,30,0,0,
Kaizer afumat Cris-Tim,250.5,18.2,19.4,0.9,0,
Kaizer Carrefour,424,15,40,1,0,
Kaizer real,330,15,30,1,0,
Kaizer vid Koket,295.6,15.8,25.6,0.5,0,
Leberwurst (lebar),349,16.8,30.1,0,0,
Leberwurst folie aurie Zimbo,353,13,33,1,0,
Meat Salad Vitakrone Lidl,295,4.5,28,6,0.3,1 cutie = 400 g
Mezel din piept de curcan Espina,88,13,2,4.5,0,
"Mezeluri, salam",403,28.3,30.7,0.3,0,1 felie =  10 g
Mini salamuri frantuzesti Lidl,517,30,43,2,0,1 bucata = 50 g
Mix feliat Gusturi Romanesti,360,27,27,2,0,1 caserola = 120 g
Mortadela cu masline verzi Alipende,261,9,23,4.5,0,1 felie = 20 g
Mortadella cu carne de curcan Dulano,241,14,20,1,0,1 cutie = 200 g
Mortadella Martinel Reinert,191,13,15,13.6,0,
Muschi afumat Ifantis Fitner,121,24.4,1.5,2.5,0,1 pachet = 80 g
Muschi Azuga Cris-Tim,119.3,20.3,3.9,0.8,0,
Muschi de porc afumat Kleinemas,119,24,2,1,0,
Muschi de porc crud-uscat Drag de Romania,119,18,3,5,0,1 pac = 80 g
Muschi file afumat Campofrio,137.4,19.7,5.4,2.5,0,
Muschi file afumat Meda,109.7,15.3,4.1,2.9,0,1 felie = 20 g
Muschi file Aldis,263,16,21,0.5,0,
Muschi file Carrefour,141,19,5,3,0,1 felie = 20 g
Muschi file de porc Carrefour,109,15,5,1,0,1 felie = 45 g
Muschi file feliat Mega Image,178,29,6,2,0,
Muschi file Vitality Cris-Tim,137.9,22.3,5.3,0.2,0,
Muschi porc condimentat Poiana Marului,79,16,2,0,0,
Muschi porc Irma,115,16,4.5,2.3,0,
Muschi Sinaia Cris-Tim,115.5,15.1,5.8,0.7,0,
Muschi tiganesc,333,21.6,26.3,0,0,
Muschi Tiganesc Angst,195,15.5,14.2,1.2,0,
